transaction_id,account_id,customer_id,transaction_type,amount,currency,transaction_timestamp,merchant_name,branch_code,status
TXN100241,ACC5000,CUST1000,CREDIT,71685.99,INR,2026-06-03 06:18:22,Salary Credit,PUN006,SUCCESS
TXN101127,ACC5003,CUST1003,CREDIT,81147.07,INR,2026-06-10 16:38:42,Refund,PUN006,SUCCESS
TXN100739,ACC5029,CUST1029,DEBIT,39858.75,INR,2026-06-06 14:18:52,Flipkart,CHN005,SUCCESS
TXN101045,ACC5013,CUST1013,DEBIT,63946.45,INR,2026-06-09 23:31:50,Electricity Board,MUM001,SUCCESS
TXN100298,ACC5014,CUST1014,DEBIT,48984.32,INR,2026-06-03 15:30:41,Reliance Digital,BLR003,SUCCESS
TXN100225,ACC5026,CUST1026,CREDIT,52904.1,INR,2026-06-02 03:45:54,Interest Credit,MUM001,FAILED
TXN100053,ACC5013,CUST1013,CREDIT,87984.68,INR,2026-06-01 07:55:10,Refund,HYD004,SUCCESS
TXN101157,ACC5010,CUST1010,DEBIT,11540.17,INR,2026-06-10 11:19:23,Uber,BLR003,SUCCESS
TXN100630,ACC5004,CUST1004,DEBIT,23868.06,INR,2026-06-06 14:21:39,Zomato,BLR003,PENDING
TXN101229,ACC5029,CUST1029,DEBIT,59627.61,INR,2026-06-10 06:34:24,Swiggy,BLR003,PENDING
TXN101230,ACC5029,CUST1029,CREDIT,92824.76,INR,2026-06-10 07:58:02,Fund Transfer,CHN005,FAILED
TXN100397,ACC5006,CUST1006,DEBIT,52023.07,INR,2026-06-04 16:24:26,IRCTC,DEL002,FAILED
TXN101189,ACC5020,CUST1020,DEBIT,55748.68,INR,2026-06-10 08:43:58,Zomato,BLR003,PENDING
TXN100861,ACC5001,CUST1001,CREDIT,19935.03,INR,2026-06-08 10:19:36,Refund,BLR003,PENDING
TXN100043,ACC5010,CUST1010,DEBIT,34398.5,INR,2026-06-01 18:06:04,Amazon,DEL002,FAILED
TXN100875,ACC5004,CUST1004,CREDIT,85888.81,INR,2026-06-08 17:49:00,Salary Credit,HYD004,SUCCESS
TXN100273,ACC5009,CUST1009,CREDIT,83572.65,INR,2026-06-03 15:01:05,Fund Transfer,CHN005,SUCCESS
TXN100671,ACC5013,CUST1013,DEBIT,37102.91,INR,2026-06-06 00:12:54,Electricity Board,CHN005,PENDING
TXN100096,ACC5024,CUST1024,CREDIT,47211.96,INR,2026-06-01 10:11:31,Salary Credit,BLR003,SUCCESS
TXN100284,ACC5011,CUST1011,DEBIT,35620.54,INR,2026-06-03 20:50:49,ATM Withdrawal,CHN005,FAILED
TXN100772,ACC5007,CUST1007,CREDIT,93833.11,INR,2026-06-07 19:52:51,Refund,CHN005,SUCCESS
TXN100598,ACC5028,CUST1028,DEBIT,48551.6,INR,2026-06-05 12:15:32,Netflix,BLR003,PENDING
TXN100617,ACC5001,CUST1001,DEBIT,18930.5,INR,2026-06-06 02:36:52,DMart,BLR003,SUCCESS
TXN100059,ACC5015,CUST1015,DEBIT,44763.02,INR,2026-06-01 11:46:50,Flipkart,HYD004,SUCCESS
TXN100775,ACC5008,CUST1008,CREDIT,29333.66,INR,2026-06-07 15:01:21,Salary Credit,PUN006,SUCCESS
TXN100482,ACC5029,CUST1029,DEBIT,8363.5,INR,2026-06-04 16:55:23,DMart,BLR003,SUCCESS
TXN100981,ACC5028,CUST1028,CREDIT,19329.84,INR,2026-06-08 12:18:35,Refund,MUM001,SUCCESS
TXN100209,ACC5022,CUST1022,CREDIT,91004.76,INR,2026-06-02 14:06:51,Refund,PUN006,SUCCESS
TXN100008,ACC5001,CUST1001,CREDIT,67082.04,INR,2026-06-01 01:42:14,Refund,MUM001,SUCCESS
TXN101096,ACC5026,CUST1026,DEBIT,47319.93,INR,2026-06-09 02:02:32,Reliance Digital,HYD004,SUCCESS
TXN100312,ACC5017,CUST1017,CREDIT,72495.73,INR,2026-06-03 21:48:38,Refund,CHN005,SUCCESS
TXN100584,ACC5025,CUST1025,CREDIT,68236.46,INR,2026-06-05 03:48:26,Refund,PUN006,SUCCESS
TXN100090,ACC5023,CUST1023,DEBIT,52304.62,INR,2026-06-01 09:54:43,Flipkart,MUM001,FAILED
TXN100918,ACC5014,CUST1014,DEBIT,3466.71,INR,2026-06-08 05:21:04,DMart,BLR003,SUCCESS
TXN100117,ACC5029,CUST1029,CREDIT,44791.96,INR,2026-06-01 09:44:25,Salary Credit,CHN005,SUCCESS
TXN101076,ACC5020,CUST1020,DEBIT,3132.32,INR,2026-06-09 05:16:10,Uber,HYD004,FAILED
TXN100995,ACC5001,CUST1001,CREDIT,65804.29,INR,2026-06-09 04:52:28,Interest Credit,CHN005,FAILED
TXN100323,ACC5020,CUST1020,CREDIT,78307.56,INR,2026-06-03 07:29:22,Fund Transfer,BLR003,SUCCESS
TXN100796,ACC5014,CUST1014,DEBIT,69536.39,INR,2026-06-07 14:55:39,Swiggy,PUN006,SUCCESS
TXN100702,ACC5020,CUST1020,DEBIT,21381.42,INR,2026-06-06 10:43:32,DMart,PUN006,SUCCESS
TXN100713,ACC5023,CUST1023,CREDIT,92121.74,INR,2026-06-06 22:34:11,Refund,CHN005,FAILED
TXN100699,ACC5019,CUST1019,DEBIT,16199.28,INR,2026-06-06 08:30:53,Amazon,MUM001,PENDING
TXN101216,ACC5026,CUST1026,DEBIT,17842.18,INR,2026-06-10 17:54:03,Amazon,BLR003,SUCCESS
TXN100979,ACC5027,CUST1027,DEBIT,15623.4,INR,2026-06-08 15:55:33,Swiggy,MUM001,SUCCESS
TXN100270,ACC5008,CUST1008,CREDIT,30656.45,INR,2026-06-03 14:07:17,Salary Credit,DEL002,SUCCESS
TXN100749,ACC5002,CUST1002,DEBIT,17364.8,INR,2026-06-07 12:12:12,Netflix,PUN006,FAILED
TXN100852,ACC5028,CUST1028,CREDIT,80424.91,INR,2026-06-07 09:49:22,Fund Transfer,CHN005,FAILED
TXN100370,ACC5000,CUST1000,CREDIT,34626.3,INR,2026-06-04 07:46:40,Salary Credit,CHN005,SUCCESS
TXN100454,ACC5022,CUST1022,CREDIT,19890.87,INR,2026-06-04 07:26:31,Salary Credit,DEL002,SUCCESS
TXN100808,ACC5018,CUST1018,DEBIT,65167.95,INR,2026-06-07 05:49:45,Swiggy,HYD004,SUCCESS
TXN100035,ACC5007,CUST1007,DEBIT,69481.21,INR,2026-06-01 07:10:26,Flipkart,HYD004,SUCCESS
TXN101204,ACC5023,CUST1023,DEBIT,45017.35,INR,2026-06-10 14:48:06,DMart,HYD004,PENDING
TXN100803,ACC5016,CUST1016,DEBIT,37574.3,INR,2026-06-07 05:49:37,Netflix,CHN005,PENDING
TXN100908,ACC5011,CUST1011,CREDIT,60093.31,INR,2026-06-08 11:31:05,Salary Credit,HYD004,PENDING
TXN100208,ACC5022,CUST1022,CREDIT,42999.83,INR,2026-06-02 18:41:12,Salary Credit,CHN005,SUCCESS
TXN100788,ACC5012,CUST1012,DEBIT,51655.48,INR,2026-06-07 16:58:08,BigBasket,DEL002,SUCCESS
TXN101106,ACC5028,CUST1028,CREDIT,1052.55,INR,2026-06-09 03:00:10,Salary Credit,HYD004,PENDING
TXN100779,ACC5009,CUST1009,DEBIT,29178.95,INR,2026-06-07 08:42:54,Flipkart,BLR003,PENDING
TXN101056,ACC5015,CUST1015,CREDIT,28933.93,INR,2026-06-09 07:19:13,Interest Credit,HYD004,SUCCESS
TXN101013,ACC5005,CUST1005,CREDIT,32500.69,INR,2026-06-09 19:54:25,Refund,DEL002,SUCCESS
TXN100477,ACC5028,CUST1028,DEBIT,23884.43,INR,2026-06-04 23:44:22,ATM Withdrawal,MUM001,FAILED
TXN100292,ACC5013,CUST1013,CREDIT,33461.9,INR,2026-06-03 23:17:18,Fund Transfer,CHN005,SUCCESS
TXN100723,ACC5025,CUST1025,DEBIT,21194.48,INR,2026-06-06 04:45:28,Flipkart,MUM001,PENDING
TXN100921,ACC5015,CUST1015,CREDIT,1100.04,INR,2026-06-08 05:59:05,Salary Credit,PUN006,PENDING
TXN100986,ACC5028,CUST1028,CREDIT,82558.69,INR,2026-06-08 20:43:30,Fund Transfer,MUM001,PENDING
TXN100010,ACC5002,CUST1002,CREDIT,63831.55,INR,2026-06-01 22:59:43,Refund,MUM001,PENDING
TXN100898,ACC5009,CUST1009,CREDIT,17314.34,INR,2026-06-08 02:31:59,Interest Credit,CHN005,SUCCESS
TXN100820,ACC5020,CUST1020,DEBIT,54319.36,INR,2026-06-07 19:59:50,PVR Cinemas,BLR003,PENDING
TXN100963,ACC5024,CUST1024,CREDIT,92233.42,INR,2026-06-08 01:09:22,Interest Credit,HYD004,SUCCESS
TXN101103,ACC5027,CUST1027,DEBIT,13706.5,INR,2026-06-09 12:02:05,DMart,PUN006,SUCCESS
TXN100091,ACC5023,CUST1023,DEBIT,39979.26,INR,2026-06-01 21:23:04,IRCTC,PUN006,FAILED
TXN100484,ACC5000,CUST1000,CREDIT,16962.15,INR,2026-06-05 17:44:56,Interest Credit,BLR003,FAILED
TXN100556,ACC5016,CUST1016,DEBIT,52154.64,INR,2026-06-05 20:00:19,Zomato,PUN006,SUCCESS
TXN100930,ACC5017,CUST1017,DEBIT,58922.63,INR,2026-06-08 15:32:07,Swiggy,DEL002,SUCCESS
TXN100653,ACC5009,CUST1009,CREDIT,16618.56,INR,2026-06-06 13:38:09,Fund Transfer,DEL002,FAILED
TXN100983,ACC5028,CUST1028,DEBIT,22547.7,INR,2026-06-08 20:53:40,BigBasket,MUM001,SUCCESS
TXN100575,ACC5023,CUST1023,DEBIT,36899.01,INR,2026-06-05 07:21:17,DMart,CHN005,SUCCESS
TXN100381,ACC5002,CUST1002,DEBIT,57683.11,INR,2026-06-04 21:42:22,Flipkart,PUN006,SUCCESS
TXN100375,ACC5001,CUST1001,CREDIT,77658.73,INR,2026-06-04 12:23:07,Interest Credit,DEL002,FAILED
TXN100445,ACC5019,CUST1019,DEBIT,64408.74,INR,2026-06-04 00:15:02,Amazon,BLR003,SUCCESS
TXN100570,ACC5021,CUST1021,CREDIT,11172.59,INR,2026-06-05 13:28:02,Fund Transfer,BLR003,SUCCESS
TXN100927,ACC5016,CUST1016,DEBIT,59756.14,INR,2026-06-08 21:54:58,Flipkart,HYD004,SUCCESS
TXN100320,ACC5018,CUST1018,CREDIT,94324.95,INR,2026-06-03 12:28:55,Interest Credit,HYD004,SUCCESS
TXN101082,ACC5021,CUST1021,CREDIT,67213.49,INR,2026-06-09 13:07:57,Refund,MUM001,SUCCESS
TXN100282,ACC5010,CUST1010,CREDIT,48441.27,INR,2026-06-03 16:34:31,Interest Credit,CHN005,PENDING
TXN101000,ACC5002,CUST1002,CREDIT,6760.38,INR,2026-06-09 21:00:48,Salary Credit,MUM001,SUCCESS
TXN100216,ACC5024,CUST1024,CREDIT,63826.0,INR,2026-06-02 23:43:58,Refund,MUM001,FAILED
TXN101105,ACC5028,CUST1028,DEBIT,13922.3,INR,2026-06-09 23:38:16,Zomato,MUM001,PENDING
TXN100089,ACC5023,CUST1023,CREDIT,89468.97,INR,2026-06-01 06:04:37,Fund Transfer,PUN006,PENDING
TXN100589,ACC5026,CUST1026,CREDIT,91559.59,INR,2026-06-05 09:28:51,Fund Transfer,DEL002,SUCCESS
TXN100959,ACC5023,CUST1023,DEBIT,26035.18,INR,2026-06-08 14:47:41,PVR Cinemas,BLR003,SUCCESS
TXN100336,ACC5022,CUST1022,DEBIT,15706.24,INR,2026-06-03 10:19:58,PVR Cinemas,DEL002,SUCCESS
TXN100057,ACC5014,CUST1014,CREDIT,26827.99,INR,2026-06-01 02:49:17,Interest Credit,PUN006,SUCCESS
TXN100949,ACC5021,CUST1021,DEBIT,66069.5,INR,2026-06-08 23:59:03,ATM Withdrawal,PUN006,FAILED
TXN100307,ACC5015,CUST1015,DEBIT,19595.86,INR,2026-06-03 07:28:48,Amazon,BLR003,SUCCESS
TXN100537,ACC5011,CUST1011,CREDIT,79940.36,INR,2026-06-05 17:11:18,Refund,HYD004,SUCCESS
